Tratamiento	Semana	Longitud
0	1	4.7
0	1	5.7
0	1	7.6
5	1	4
5	1	4.7
5	1	7.4
10	1	3.8
10	1	3.9
10	1	4
50	1	4.5
50	1	5.3
50	1	5.5
70	1	3.45
70	1	5.4
70	1	7.4
100	1	2.2
100	1	5.5
100	1	7.53
200	1	3.4
200	1	3.5
200	1	5
300	1	2.5
300	1	3
300	1	4.1
400	1	2.36
400	1	3.1
400	1	3.6
500	1	0.9
500	1	3.3
0	2	6.2
0	2	6.3
0	2	8.4
5	2	4.7
5	2	5.5
5	2	8.3
10	2	4.4
10	2	4.52
10	2	4.9
50	2	5.1
50	2	5.8
50	2	7.1
70	2	3.7
70	2	7.1
70	2	7.7
100	2	5
100	2	6.8
100	2	7.7
200	2	3.5
200	2	5.1
200	2	5.22
300	2	3
300	2	3.2
300	2	4.4
400	2	2.4
400	2	3.3
400	2	4
500	2	1.1
500	2	3.4
0	3	6.15
0	3	6.33
0	3	8.97
5	3	5.14
5	3	5.43
5	3	7.78
10	3	4.5
10	3	4.8
10	3	5.04
50	3	5.2
50	3	6.2
50	3	7.2
70	3	4.1
70	3	7.14
70	3	7.42
100	3	5.22
100	3	7
100	3	8.7
200	3	3.74
200	3	5
200	3	5.7
300	3	3.13
300	3	3.26
300	3	4.2
400	3	2.4
400	3	3.4
400	3	4.41
500	3	1.1
500	3	3.51
0	4	6.7
0	4	6.8
0	4	9.1
5	4	5.1
5	4	5.7
5	4	9.5
10	4	4.9
10	4	5
10	4	5.4
50	4	5.53
50	4	6.73
50	4	7.6
70	4	4.9
70	4	8
70	4	8.5
100	4	7.5
100	4	7.7
100	4	9.1
200	4	4
200	4	6.1
200	4	6.2
300	4	3.2
300	4	3.4
300	4	4.35
400	4	3
400	4	3.7
400	4	4.7
500	4	1.13
500	4	3.9
0	5	6.76
0	5	7.1
0	5	9.3
5	5	5.9
5	5	6.29
5	5	9.76
10	5	5.62
10	5	5.64
10	5	5.85
50	5	5.67
50	5	6.78
50	5	7.62
70	5	4.9
70	5	8.2
70	5	8.92
100	5	7.53
100	5	8.97
100	5	9.3
200	5	4.21
200	5	6.2
200	5	7
300	5	3.33
300	5	3.41
300	5	4.45
400	5	3.1
400	5	4.09
400	5	4.94
500	5	1.19
500	5	4.05
